2025-06-14 22:38:34,event,file_hash,size,chunks,peers,time,success,speed
2025-06-15 11:31:22,download_end,0b0ab4a5bc7994f0b46e283994131ce75c2ae5c2f70a4ad652873fa6cd6729d7,,,,4.1691811084747314,True,30443554.90866037
2025-06-15 11:38:46,download_end,0b0ab4a5bc7994f0b46e283994131ce75c2ae5c2f70a4ad652873fa6cd6729d7,,,,4.2221691608428955,True,30061489.524654977
2025-06-15 11:39:00,download_end,0b0ab4a5bc7994f0b46e283994131ce75c2ae5c2f70a4ad652873fa6cd6729d7,,,,4.263489007949829,True,29770146.882830568
2025-06-15 11:40:55,download_end,0b0ab4a5bc7994f0b46e283994131ce75c2ae5c2f70a4ad652873fa6cd6729d7,,,,4.091407299041748,True,31022258.2898865
2025-06-15 11:45:58,download_end,0b0ab4a5bc7994f0b46e283994131ce75c2ae5c2f70a4ad652873fa6cd6729d7,,,,4.1363818645477295,True,30684955.634258855
2025-06-15 11:46:24,download_end,0b0ab4a5bc7994f0b46e283994131ce75c2ae5c2f70a4ad652873fa6cd6729d7,,,,4.336285829544067,True,29270370.771048855
2025-06-15 15:33:42,download_end,0b0ab4a5bc7994f0b46e283994131ce75c2ae5c2f70a4ad652873fa6cd6729d7,,,,4.3667311668396,True,29066294.47762893
2025-06-15 15:34:55,download_end,0b0ab4a5bc7994f0b46e283994131ce75c2ae5c2f70a4ad652873fa6cd6729d7,,,,4.414676904678345,True,28750619.069199536
2025-06-15 15:37:00,download_end,0b0ab4a5bc7994f0b46e283994131ce75c2ae5c2f70a4ad652873fa6cd6729d7,,,,3.0176749229431152,True,42060426.401466504
2025-06-15 15:37:06,download_end,0b0ab4a5bc7994f0b46e283994131ce75c2ae5c2f70a4ad652873fa6cd6729d7,,,,3.1637701988220215,True,40118177.371813655
2025-06-15 15:37:40,download_end,0b0ab4a5bc7994f0b46e283994131ce75c2ae5c2f70a4ad652873fa6cd6729d7,,,,3.1101131439208984,True,40810314.00677176
2025-06-15 15:39:44,download_end,0b0ab4a5bc7994f0b46e283994131ce75c2ae5c2f70a4ad652873fa6cd6729d7,,,,3.152571439743042,True,40260687.64054568
2025-06-15 15:39:57,download_end,0b0ab4a5bc7994f0b46e283994131ce75c2ae5c2f70a4ad652873fa6cd6729d7,,,,3.4716567993164062,True,36560265.4113138
